importId;name;code;description;internalDescription;productSubTypeSelect;productFamily.importId;productCategory.importId;expense;procurementMethodSelect;unit.importId;productTypeSelect;salePrice;saleCurrency.code;purchasePrice;purchaseCurrency.code;defaultSupplierPartner.importId;startDate;endDate;saleSupplySelect;costPrice;hasWarranty;warrantyNbrOfMonths;isPerishable;perishableNbrOfMonths;defaultBillOfMaterial.importId;managPriceCoef;picture_fileName;isActivity;productVariantConfig.importId;manageVariantPrice
192;LA GRAVURE                                                  ;61156100;;Réf. fournisseur : PARRAMON;;7;152;false;buy;1;storable;17.62;EUR;16.67;EUR;24;TODAY[1d];;1;;false;;false;;;;;;;
193;LES FLEURS                                                  ;61156200;;Réf. fournisseur : PARRAMON;;7;133;false;buy;1;storable;3.79;EUR;3.57;EUR;24;TODAY[1d];;1;;false;;false;;;;;;;
194;CONSERVER ET RESTAURER LE VERRE                             ;61156300;;Réf. fournisseur : PARRAMON;;7;153;false;buy;1;storable;3.01;EUR;2.8436;EUR;24;TODAY[1d];;1;;false;;false;;;;;;;
195;ENCRES ET LAVIS                                             ;61156400;;Réf. fournisseur : PARRAMON;;7;59;false;buy;1;storable;3.79;EUR;3.57;EUR;24;TODAY[1d];;1;;false;;false;;;;;;;
196;PASTEL                                                      ;61156600;;Réf. fournisseur : PARRAMON;;7;135;false;buy;1;storable;3.79;EUR;3.57;EUR;24;TODAY[1d];;1;;false;;false;;;;;;;
197;AQUARELLE                                                   ;61156700;;Réf. fournisseur : PARRAMON;;7;23;false;buy;1;storable;3.79;EUR;3.57;EUR;24;TODAY[1d];;1;;false;;false;;;;;;;
198;ACRYLIQUE                                                   ;61156800;;Réf. fournisseur : PARRAMON;;7;40;false;buy;1;storable;3.79;EUR;3.57;EUR;24;TODAY[1d];;1;;false;;false;;;;;;;
199;LE CORPS EN MOUVEMENT                                       ;61156900;;Réf. fournisseur : PARRAMON;;7;134;false;buy;1;storable;3.79;EUR;3.57;EUR;24;TODAY[1d];;1;;false;;false;;;;;;;
200;L'AEROGRAPHE                                                ;61157000;;Réf. fournisseur : PARRAMON;;7;30;false;buy;1;storable;3.79;EUR;3.57;EUR;24;TODAY[1d];;1;;false;;false;;;;;;;
201;TSUM TSUM                     CARRES ART THERAPIE           ;61167500;<p>Tsum Tsum - Hachette Livre</p>;Réf. fournisseur : C203496;;7;154;false;buy;1;storable;3.58;EUR;3.3839;EUR;16;TODAY[1d];;1;;false;;false;;;;http://www.dalbe.fr/img/p/8/8/9/1/8891.jpg;;;
202;BESTIAIRE DISNEY              CARRES ART THERAPIE           ;61167600;;;;7;154;false;buy;1;storable;3.58;EUR;3.3839;EUR;16;TODAY[1d];;1;;false;;false;;;;;;;
203;BOHEME                        CARRES ART THERAPIE           ;61167900;;;;7;154;false;buy;1;storable;2.98;EUR;2.8152;EUR;16;TODAY[1d];;1;;false;;false;;;;;;;
204;MANGAS                        CARRES ART THERAPIE           ;61168300;;;;7;154;false;buy;1;storable;2.98;EUR;2.8152;EUR;16;TODAY[1d];;1;;false;;false;;;;;;;
205;DISNEY LOVE STORIES           ART THERAPIE GRAND BLOC       ;61168600;;;;7;154;false;buy;1;storable;5.96;EUR;5.6588;EUR;16;TODAY[1d];;1;;false;;false;;;;;;;
206;MESSAGES MYSTERES DISNEY      ART THERAPIE GRAND BLOC       ;61169100;;;;7;154;false;buy;1;storable;5.96;EUR;5.6588;EUR;16;TODAY[1d];;1;;false;;false;;;;;;;
207;LE BESTIAIRE EXTRA DISNEY     COLLECTION BODONI             ;61169400;;;;7;154;false;buy;1;storable;7.73;EUR;7.3365;EUR;16;TODAY[1d];;1;;false;;false;;;;;;;
208;LES GR CLASSIQ ART DCO DISNEY COLLECTION BODONI             ;61169600;;;;7;154;false;buy;1;storable;7.73;EUR;7.3365;EUR;16;TODAY[1d];;1;;false;;false;;;;;;;
209;LES GR CLASS ART DCO DISNEY T2COLLECTION BODONI             ;61169700;;;;7;154;false;buy;1;storable;7.73;EUR;7.3365;EUR;16;TODAY[1d];;1;;false;;false;;;;;;;
210;LES GRANDS CLASSIQUE DISNEY T1COLORIAGES MYSTERES           ;61169900;;;;7;154;false;buy;1;storable;7.73;EUR;7.3365;EUR;16;TODAY[1d];;1;;false;;false;;;;;;;
211;LES GRANDS CLASSIQUE DISNEY T2COLORIAGES MYSTERES           ;61170100;;;;7;154;false;buy;1;storable;7.73;EUR;7.3365;EUR;16;TODAY[1d];;1;;false;;false;;;;;;;
212;COLORIAGES MYSTERES PIXAR     COLORIAGES MYSTERES           ;61170200;;;;7;154;false;buy;1;storable;8.98;EUR;8.5024;EUR;16;TODAY[1d];;1;;false;;false;;;;;;;
213;VICE VERSA 1                  COLORIAGES MYSTERES           ;61170700;;;;7;154;false;buy;1;storable;7.73;EUR;7.3365;EUR;16;TODAY[1d];;1;;false;;false;;;;;;;
214;50 COLORIAGES MYSTERES CUTIES LES PETITS BLOCS              ;61171400;;;;7;154;false;buy;1;storable;2.37;EUR;2.2464;EUR;16;TODAY[1d];;1;;false;;false;;;;;;;
215;LA POTERIE SANS TOUR          FLEURUS                       ;61216000;;Réf. fournisseur : 590178N1;;7;141;false;buy;1;storable;17.65;EUR;16.7773;EUR;16;TODAY[1d];;1;;false;;false;;;;;;;
216;TOUT CREER TISSUS ADHESIFS    FLEURUS                       ;61218000;;;;7;43;false;buy;1;storable;9.54;EUR;9.0711;EUR;16;TODAY[1d];;1;;false;;false;;;;;;;
217;GD LIV DESSINER AVEC LES MAINS                              ;61243000;"<div class=""idocBlock"" style=""box-sizing: border-box; word-wrap: break-word; color: #000000; font-family: helvetica; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 18.8999996185303px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Amuse-toi &agrave; cr&eacute;er dans ce livre pr&egrave;s de 50&nbsp;animaux et personnages &agrave; partir du contour de tes mains&nbsp;! Avec tes crayons, tu vas pouvoir r&eacute;aliser facilement un roi et son ch&acirc;teau fort, un chat et une souris, ou m&ecirc;me Boucle&nbsp;d'Or et les trois&nbsp;ours&hellip;</div>
<div class=""idocBlock"" style=""box-sizing: border-box; word-wrap: break-word; color: #000000; font-family: helvetica; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 18.8999996185303px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Ce livre contient, sur chaque page, un mod&egrave;le &agrave; reproduire en quatre &eacute;tapes.</div>
<div class=""idocBlock"" style=""box-sizing: border-box; word-wrap: break-word; color: #000000; font-family: helvetica; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 18.8999996185303px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;""><br />
<ul class=""featuresContent"" style=""box-sizing: border-box; font-size: 12px; line-height: 17.8500003814697px; margin: 0px; padding: 0px; color: #000000; font-family: helvetica; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">
<li class=""line"" style=""box-sizing: border-box; list-style-type: none; clear: both;"">&Acirc;ges : 3-5 ans</li>
<li class=""line"" style=""box-sizing: border-box; list-style-type: none; clear: both;"">Format : 26 x 26 cm</li>
<li class=""line"" style=""box-sizing: border-box; list-style-type: none; clear: both;"">Pagination : 48 pages</li>
</ul>
</div>";;;7;29;false;buy;1;storable;7.86;EUR;7.109;EUR;16;TODAY[1d];;1;;false;;false;;;;http://www.dalbe.fr/img/p/6/1/3/3/6133.jpg;;;
218;DESSINE AVEC TES MAINS                                      ;61244000;"<ul class=""featuresContent"" style=""box-sizing: border-box; font-size: 12px; line-height: 17.8500003814697px; margin: 0px; padding: 0px; color: #000000; font-family: helvetica; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">
<li class=""line"" style=""box-sizing: border-box; list-style-type: none; clear: both;"">
<div class=""idocBlock"" style=""box-sizing: border-box; word-wrap: break-word; color: #000000; font-family: helvetica; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 18.8999996185303px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Amuse-toi &agrave; cr&eacute;er plus de 20&nbsp;animaux &agrave; partir du contour de tes mains&nbsp;! Avec seulement un crayon, tu vas pouvoir r&eacute;aliser en quelques &eacute;tapes un chien, une grenouille, un &eacute;l&eacute;phant&hellip;<br style=""box-sizing: border-box;"" />Tu peux ensuite cr&eacute;er de v&eacute;ritables d&eacute;cors avec tous les animaux que tu pr&eacute;f&egrave;res&nbsp;!</div>
<div class=""idocBlock"" style=""box-sizing: border-box; word-wrap: break-word; color: #000000; font-family: helvetica; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 18.8999996185303px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Ce livre contient, pour chaque animal, une page d'explications claires &agrave; suivre, &eacute;tape par &eacute;tape, et l'image du mod&egrave;le &agrave; reproduire.</div>
</li>
<li class=""line"" style=""box-sizing: border-box; list-style-type: none; clear: both;""></li>
<li class=""line"" style=""box-sizing: border-box; list-style-type: none; clear: both;"">
<div class=""idocBlock"" style=""box-sizing: border-box; word-wrap: break-word; color: #000000; font-family: helvetica; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 18.8999996185303px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;""> </div>
&Acirc;ges : 3-5 ans</li>
<li class=""line"" style=""box-sizing: border-box; list-style-type: none; clear: both;"">Format : 20 x 20 cm</li>
<li class=""line"" style=""box-sizing: border-box; list-style-type: none; clear: both;"">Pagination : 48 pages</li>
</ul>";;;7;29;false;buy;1;storable;6.26;EUR;5.66;EUR;16;TODAY[1d];;1;;false;;false;;;;http://www.dalbe.fr/img/p/6/1/3/4/6134.jpg;;;
